longitude,latitude,altitude,yaw,state_x,state_y,state_yaw
0.127125,-0.0222091,0.084,0.0188984,0.110967,-0.0131154,1.58055
0.127125,-0.0222091,0.084,0.0189314,0.111908,-0.0136166,1.58055
0.127125,-0.0222091,0.084,0.0189547,0.112794,-0.0140887,1.58054
0.127125,-0.0222091,0.084,0.0189714,0.113628,-0.0145332,1.58054
0.127125,-0.0222091,0.084,0.0189799,0.114413,-0.0149519,1.58054
0.127125,-0.0222091,0.084,0.0190132,0.115153,-0.0153462,1.58053
0.127125,-0.0222091,0.084,0.0190436,0.11585,-0.0157176,1.58053
0.127125,-0.0222091,0.084,0.0190453,0.116506,-0.0160673,1.58053
0.127125,-0.0222091,0.084,0.0190546,0.117124,-0.0163967,1.58052
0.127125,-0.0222091,0.084,0.0190644,0.117706,-0.0167069,1.58052
0.127125,-0.0222091,0.084,0.0191077,0.118255,-0.016999,1.58052
0.127125,-0.0222091,0.084,0.0191216,0.118771,-0.0172741,1.58052
0.127125,-0.0222091,0.084,0.0191595,0.119257,-0.0175332,1.58052
0.127125,-0.0222091,0.084,0.0191866,0.119715,-0.0177772,1.58051
0.127125,-0.0222091,0.084,0.0192167,0.120146,-0.018007,1.58051
0.127125,-0.0222091,0.084,0.0192601,0.120552,-0.0182234,1.58051
0.127125,-0.0222091,0.084,0.0192795,0.120935,-0.0184272,1.58051
0.127125,-0.0222091,0.084,0.0193026,0.121295,-0.0186192,1.58051
0.127125,-0.0222091,0.084,0.0193186,0.121634,-0.0188,1.58051
0.127125,-0.0222091,0.084,0.0193443,0.121953,-0.0189702,1.58051
0.127125,-0.0222091,0.084,0.0193891,0.122254,-0.0191305,1.58051
0.144075,-0.0222091,0.099,0.0193799,0.123525,-0.019291,1.5805
0.144075,-0.0222091,0.099,0.0201176,0.124721,-0.019442,1.5805
0.144075,-0.0222091,0.099,0.0201565,0.125848,-0.0195843,1.58049
0.144075,-0.0222091,0.099,0.0201921,0.126909,-0.0197183,1.58049
0.144075,-0.0222091,0.099,0.0202224,0.127908,-0.0198445,1.58049
0.144075,-0.0222091,0.099,0.0202776,0.128849,-0.0199634,1.58049
0.144075,-0.0222091,0.099,0.0203189,0.129736,-0.0200753,1.58048
0.144075,-0.0222091,0.099,0.0203521,0.13057,-0.0201807,1.58048
0.144075,-0.0222091,0.099,0.0203718,0.131357,-0.02028,1.58048
0.144075,-0.0222091,0.099,0.0204051,0.132097,-0.0203735,1.58048
0.144075,-0.0222091,0.099,0.0204326,0.132794,-0.0204615,1.58048
0.144075,-0.0222091,0.099,0.0204708,0.133451,-0.0205444,1.58047
0.144075,-0.0222091,0.099,0.0204888,0.134069,-0.0206225,1.58047
0.144075,-0.0222091,0.099,0.0205201,0.134652,-0.0206961,1.58047
0.144075,-0.0222091,0.099,0.0205419,0.1352,-0.0207653,1.58047
0.144075,-0.0222091,0.099,0.0205889,0.135717,-0.0208306,1.58047
0.144075,-0.0222091,0.099,0.020621,0.136203,-0.020892,1.58047
0.144075,-0.0222091,0.099,0.0206603,0.136661,-0.0209498,1.58047
0.144075,-0.0222091,0.099,0.0206969,0.137093,-0.0210043,1.58047
0.144075,-0.0222091,0.099,0.0207056,0.137499,-0.0210557,1.58047
0.144075,-0.0222091,0.099,0.020741,0.137882,-0.021104,1.58047
0.144075,-0.0222091,0.099,0.0207707,0.138242,-0.0211495,1.58047
0.144075,-0.0222091,0.099,0.0207812,0.138582,-0.0211923,1.58046
0.144075,-0.0222091,0.099,0.0207887,0.138902,-0.0212327,1.58046
0.144075,-0.0222091,0.099,0.0208023,0.139203,-0.0212707,1.58046
0.161025,-0.0222091,0.111,0.0208163,0.140473,-0.0212877,1.58046
0.161025,-0.0222091,0.111,0.0216048,0.141669,-0.0213037,1.58046
0.161025,-0.0222091,0.111,0.0216357,0.142796,-0.0213187,1.58045
0.161025,-0.0222091,0.111,0.0216533,0.143857,-0.0213329,1.58045
0.161025,-0.0222091,0.111,0.0216981,0.144856,-0.0213462,1.58045
0.161025,-0.0222091,0.111,0.021718,0.145797,-0.0213588,1.58045
0.161025,-0.0222091,0.111,0.0217104,0.146684,-0.0213707,1.58044
0.161025,-0.0222091,0.111,0.021723,0.147518,-0.0213818,1.58044
0.161025,-0.0222091,0.111,0.0217578,0.148304,-0.0213923,1.58044
0.161025,-0.0222091,0.111,0.0217793,0.149045,-0.0214022,1.58044
0.161025,-0.0222091,0.111,0.0218025,0.149742,-0.0214115,1.58043
0.161025,-0.0222091,0.111,0.0218158,0.150399,-0.0214203,1.58043
0.161025,-0.0222091,0.111,0.0218285,0.151017,-0.0214285,1.58043
0.161025,-0.0222091,0.111,0.0218552,0.151599,-0.0214363,1.58043
0.161025,-0.0222091,0.111,0.0218795,0.152148,-0.0214436,1.58043
0.161025,-0.0222091,0.111,0.0219038,0.152664,-0.0214506,1.58043
0.161025,-0.0222091,0.111,0.0219257,0.153151,-0.021457,1.58042
0.161025,-0.0222091,0.111,0.0219387,0.153609,-0.0214632,1.58042
0.161025,-0.0222091,0.111,0.0219525,0.15404,-0.0214689,1.58042
0.161025,-0.0222091,0.111,0.0219784,0.154447,-0.0214744,1.58042
0.161025,-0.0222091,0.111,0.0219708,0.154829,-0.0214794,1.58042
0.161025,-0.0222091,0.111,0.0219881,0.15519,-0.0214843,1.58042
0.161025,-0.0222091,0.111,0.0220176,0.155529,-0.0214888,1.58042
0.161025,-0.0222091,0.111,0.0220237,0.155849,-0.0214931,1.58042
0.161025,-0.0222091,0.111,0.0220325,0.15615,-0.021497,1.58041
0.161025,-0.0222091,0.111,0.0220681,0.156433,-0.0215008,1.58041
0.177975,-0.0333136,0.13,0.0231219,0.157687,-0.0221698,1.58041
0.177975,-0.0333136,0.13,0.0231686,0.158869,-0.0227998,1.58041
0.177975,-0.0333136,0.13,0.0231823,0.159981,-0.0233932,1.5804
0.177975,-0.0333136,0.13,0.0231964,0.161028,-0.023952,1.5804
0.177975,-0.0333136,0.13,0.0232404,0.162015,-0.0244782,1.5804
0.177975,-0.0333136,0.13,0.0232673,0.162944,-0.0249739,1.58039
0.177975,-0.0333136,0.13,0.0232838,0.163819,-0.0254406,1.58039
0.177975,-0.0333136,0.13,0.0232899,0.164643,-0.0258802,1.58039
0.177975,-0.0333136,0.13,0.0233338,0.165419,-0.0262942,1.58039
0.177975,-0.0333136,0.13,0.0233505,0.16615,-0.0266841,1.58038
0.177975,-0.0333136,0.13,0.0233729,0.166839,-0.0270513,1.58038
0.177975,-0.0333136,0.13,0.0233882,0.167487,-0.0273971,1.58038
0.177975,-0.0333136,0.13,0.0234211,0.168097,-0.0277227,1.58038
0.177975,-0.0333136,0.13,0.023458,0.168672,-0.0280294,1.58038
0.177975,-0.0333136,0.13,0.0234912,0.169214,-0.0283183,1.58038
0.177975,-0.0333136,0.13,0.0235129,0.169724,-0.0285903,1.58038
0.177975,-0.0333136,0.13,0.0235336,0.170204,-0.0288465,1.58037
0.177975,-0.0333136,0.13,0.0235592,0.170656,-0.0290878,1.58037
0.177975,-0.0333136,0.13,0.0235659,0.171082,-0.029315,1.58037
0.177975,-0.0333136,0.13,0.0235973,0.171483,-0.029529,1.58037
0.177975,-0.0333136,0.13,0.0236244,0.171861,-0.0297305,1.58037
0.177975,-0.0333136,0.13,0.0236557,0.172217,-0.0299203,1.58037
0.177975,-0.0333136,0.13,0.0236782,0.172552,-0.0300991,1.58037
0.177975,-0.0333136,0.13,0.0236891,0.172868,-0.0302674,1.58037
0.194925,-0.0333136,0.144,0.0237051,0.174152,-0.030426,1.58037
0.194925,-0.0333136,0.144,0.0247229,0.175361,-0.0305753,1.58036
0.194925,-0.0333136,0.144,0.0247323,0.1765,-0.0307159,1.58036
0.194925,-0.0333136,0.144,0.0247728,0.177573,-0.0308483,1.58036
0.194925,-0.0333136,0.144,0.0247852,0.178583,-0.030973,1.58036
0.194925,-0.0333136,0.144,0.0247988,0.179534,-0.0310905,1.58036
0.194925,-0.0333136,0.144,0.0248315,0.18043,-0.0312011,1.58035
0.194925,-0.0333136,0.144,0.0248498,0.181274,-0.0313053,1.58035
0.194925,-0.0333136,0.144,0.0248661,0.182069,-0.0314034,1.58035
0.194925,-0.0333136,0.144,0.0249106,0.182817,-0.0314958,1.58035
0.194925,-0.0333136,0.144,0.0249398,0.183522,-0.0315828,1.58035
0.194925,-0.0333136,0.144,0.0249768,0.184186,-0.0316647,1.58035
0.194925,-0.0333136,0.144,0.0249975,0.184811,-0.0317419,1.58035
0.194925,-0.0333136,0.144,0.0250233,0.1854,-0.0318146,1.58034
0.194925,-0.0333136,0.144,0.0250627,0.185954,-0.031883,1.58034
0.194925,-0.0333136,0.144,0.0250892,0.186476,-0.0319475,1.58034
0.194925,-0.0333136,0.144,0.0251411,0.186968,-0.0320082,1.58034
0.194925,-0.0333136,0.144,0.0251789,0.187431,-0.0320654,1.58034
0.194925,-0.0333136,0.144,0.0252121,0.187867,-0.0321192,1.58034
0.194925,-0.0333136,0.144,0.0252433,0.188278,-0.0321699,1.58034
0.194925,-0.0333136,0.144,0.0252489,0.188665,-0.0322177,1.58034
0.194925,-0.0333136,0.144,0.025276,0.189029,-0.0322627,1.58034
0.194925,-0.0333136,0.144,0.0252923,0.189372,-0.032305,1.58034
0.194925,-0.0333136,0.144,0.0253471,0.189696,-0.0323449,1.58034
0.194925,-0.0333136,0.144,0.0253658,0.19,-0.0323825,1.58034
0.211875,-0.0333136,0.159,0.025383,0.191272,-0.0323049,1.58034
0.211875,-0.0333136,0.159,0.0256484,0.192471,-0.0322318,1.58033
0.211875,-0.0333136,0.159,0.0256807,0.193599,-0.0321629,1.58033
0.211875,-0.0333136,0.159,0.0256766,0.194662,-0.0320979,1.58032
0.211875,-0.0333136,0.159,0.0256718,0.195663,-0.0320369,1.58032
0.211875,-0.0333136,0.159,0.0256817,0.196606,-0.0319794,1.58031
0.211875,-0.0333136,0.159,0.0257181,0.197494,-0.0319252,1.58031
0.211875,-0.0333136,0.159,0.0257469,0.19833,-0.0318742,1.5803
0.211875,-0.0333136,0.159,0.0257768,0.199117,-0.0318262,1.58029
0.211875,-0.0333136,0.159,0.0258028,0.199859,-0.031781,1.58029
